Server provider,Specialization,code,Latitude,Longitude,the address,phone,Governorate,area,provider
Cleopatra Hospital,hospital,PH11,30.093594522739043,31.329863834624376,"39 Cleopatra Street, Salah El Din Square, Heliopolis",24143931,Cairo,New Cairo,AXA Egypt
Cairo Specialized Hospital,hospital,PH12,30.095157139329356,31.317080157901398,4 Abu Ubaid Al-Bakri Street - from Granada - Heliopolis,24504905- 24509800-24507500,Cairo,New Cairo,AXA Egypt
Saudi German Hospital,hospital,PH04,30.132394615385333,31.384840123877236,Intersection of Taha Hussein Axis with Joseph Tito Street,16259-0226252400,Cairo,New Cairo,AXA Egypt
As-Salam International Hospital,hospital,PH44,29.98502527,31.23098908,Maadi Nile Corniche,19885,Cairo,Maadi,MetLife Egypt
Dar Al Fouad Hospital,hospital,PH17,30.06593312,31.3199223,Intersection of Al Nasr Road and Youssef Abbas Street - International Forest Land,0225777300 - 01125777300 -16370,Cairo,Nasr City,MetLife Egypt
Andalusia Maadi Hospital,hospital,PH32,29.97381221,31.28212732,New Maadi – Wireless Division,227537773,Cairo,Maadi,MetLife Egypt
International Medical Center,hospital,PH76,30.19378182,31.65663645,Kilometer 42 Cairo-Ismailia Desert Road,24775902,Cairo,Egypt-Ismailia Road,Misr Life Insurance
Nile Badrawi Hospital,hospital,PH11,29.98264192,31.23212824,Nile Corniche - Maadi,25242446,Cairo,Maadi,Misr Life Insurance
Armed Forces Hospital in Maadi (Armed Forces Medical Complex in Maadi),hospital,PH12,29.96858283,31.24182544,Nile Corniche in Maadi,1200193555,Cairo,Maadi,Misr Life Insurance
Qasr El Aini Teaching Hospital,hospital,PH04,30.03038564,31.23218814,Qasr El Aini Street,23638839,Cairo,Qasr El Aini,Egypt Healthcare
Dar Al Hekma Hospital,hospital,PH44,30.06600586,31.33868674,"10 Mohamed Hussein Heikal Street, Abbas El Akkad, Nasr City",26739050,Cairo,Nasr City,Egypt Healthcare
Ganzouri Specialized Hospital,hospital,PH17,30.09767633,31.31030108,63 Tumanbay Street - next to Al-Tahera Palace - Saray El Qubba,22583166,Cairo,New Cairo,Egypt Healthcare
El Galaa Hospital,hospital,PH32,30.09911902,31.35086153,2 Al-Orouba Street - Salah Salem - Airport Road,22673650,Cairo,New Cairo,Suez Canal Insurance
Italian hospital,hospital,PH76,30.06689535,31.28242893,"17 Al Sarayat Street, Abbasiya",24678191,Cairo,Abbasid,Suez Canal Insurance
St. Peter's International Hospital,hospital,PH11,30.11566341,31.3474586,"3 Abdel Rahman El Rafei Street, Heliopolis Square, Cairo",26235797,Cairo,New Cairo,Suez Canal Insurance
Al Badr Specialized Hospital,hospital,PH12,30.09351269,31.33531695,"37 Murad Street - Salah El Din Square, Heliopolis",24155387,Cairo,New Cairo,Misr Insurance
El Araby Hospital,hospital,PH04,30.301442769178095,31.252032558422094,"98 Nafak Al Sabtia, El-Attar, Shubra",25785004,Cairo,Shubra,Misr Insurance
Arab Contractors Hospital,hospital,PH44,30.05825789,31.33236343,465 Al Jabal Al Akhdar - Nasr City,24881475,Cairo,Nasr City,Misr Insurance
Teachers Hospital,hospital,PH17,30.04457959,31.22536958,"3 Mahmoud Mokhtar Street (formerly Al-Ma'rad), Al-Jazira - Cairo",27374725,Cairo,Zamalek,AXA Egypt
Hassabo Hospital,hospital,PH32,30.06852139,31.34939388,"15 Ahmed Fakhry Street, Nasr City, Sixth District",23520040,Cairo,Nasr City,AXA Egypt
Almasah Hospital,hospital,PH76,30.054858398762743,31.379335603794217,26 Metwally El Shaarawy Street - 10th District - Nasr City,23575162,Cairo,Nasr City,AXA Egypt
Palestine Hospital,hospital,PH11,30.08493376106483,31.339310506699256,64 Al Thawra Street – Heliopolis,22909007,Cairo,New Cairo,MetLife Egypt
Capital Hospital,hospital,PH12,30.09605360060203,31.33101519920861,"Othman Ibn Affan, El-Bostan, Heliopolis",24159383- 24159384 - 01062111122,Cairo,New Cairo,MetLife Egypt
El Zaitoun Specialized Hospital,hospital,PH04,30.10228320083094,31.312432714518927,"2 El-Aziz Bellah, El-Zaytoun Sharkeya",26353162,Cairo,Helmiya El-Zaytoun,MetLife Egypt
