ID,name,type,address,phone,governorate,Latitude,Longitude
PH-1,Ezzaby Pharmacy,Pharmacy," Abbas El-Akkad, Al Mintaqah as Sādisah, Nasr City",1159271988,Cairo,30.06103307,31.33771149
PH-2,Seif Pharmacy,Pharmacy,"183 El Tahrir, Bab Al Louq, Abdeen",227929251,Cairo,30.05054736,31.23903817
PH-3,Misr Pharmacy,Pharmacy,El-Faisal Main Street,19110,Giza,30.06218813,31.2447628
PH-4,Roshdy Pharmacy,Pharmacy,Al-Haram Street,16121,Giza,29.99890316,31.17371004
PH-5,Al-Muttahida Pharmacy,Pharmacy,Gamal Abdel Nasser Street – Smouha,34567890,Alexandria,22.08432734,39.19193453
PH-6,Nour Pharmacy,Pharmacy,El-Geish Street – Tanta,401234567,Gharbia,30.81456179,30.99304628
PH-7,Al-Hayah Pharmacy,Pharmacy,"El-Galaa, Mansoura Qism 2, El Mansoura 1",509876543,Dakahlia,30.17690833,31.31946426
PH-8,El Shefaa pharmacy,Pharmacy,"27 Tahrir Street, Ad Doqi, Dokki",233379023, Giza ,30.0364483,31.20247704
H-9,Al-Salam International Hospital,Hospital,Maadi – Nile Corniche,19885,Cairo,29.98521707,31.23021684
H-10,Dar Al-Fouad Hospital,Hospital,6th of October – Central Axis,16121,Giza,29.99898237,30.9674328
H-11,Bahiya Hospital,Hospital,"First Al Sheikh Zayed, Giza",16602,Giza,30.03985085,31.0105435
H-12,57357 Hospital,Hospital,Zahraa Al-Maadi,57357,Cairo,30.02327685,31.2378745
H-13,Saudi German Hospital,Hospital,Alexandria – Smouha,16259,Alexandria,31.05991901,29.71847944
H-14,Cleopatra Hospital,Hospital,Salah Salem Street,19668,Cairo,30.0953177,31.32907045
LAB-15,Al-Borg Laboratory,Lab,Mostafa El-Nahas Street,19911,Cairo,30.17622261,31.62536356
LAB-16,Al-Mokhtabar Laboratory,Lab,Faisal Street,19014,Giza,29.9964021,31.15100558
LAB-17,Alpha Laboratory,Lab,El-Gomhouria Street,16191,Mansoura,31.04584773,31.36547873
LAB-18,Cairo Scan Laboratory,Lab,El-Gamaa El-Duwal Street,16121,Giza,30.06092355,31.19854041
LAB-19,Alfa Lab Shorouk,Lab,"43 Manteka D2, El Shorouk",1274468876,Cairo ,30.17454751,31.59618171
LAB-20,Al-Nile Laboratory,Lab,Khalid Ibn Al-Waleed Street,35551234,Alexandria,29.96022979,31.25958021
H-21,Ain Shams Specialized Hospital,Hospital,Abbasiya – In front of Faculty of Medicine,223456789,Cairo,30.08681159,31.28626831
H-22,Al-Nuzha International Hospital,Hospital,Tuman Bay Street – Heliopolis,224012345,Cairo,30.10046718,31.37258129
H-23,Al-Gawwi Specialized Hospital,Hospital,Kobri Al-Qobba,222688888,Cairo,30.09542762,31.29115768
H-24,Wadi Al-Nil Hospital,Hospital,El-Gamaa El-Duwal Al-Arabia Street,237600000,Giza,30.10327316,31.29476246
H-25,Al-Safwa Hospital,Hospital,"Shobra, El Sahel, Cairo Governorate",233456677,Cairo,30.09568611,31.24360732
H-26,Al-Zahraa University Hospital,Hospital,Al-Azhar University – Madinet Nasr,222876543,Cairo,30.06554781,31.28125132
H-27,Mansoura International Hospital,Hospital,El-Geish Street – Mansoura,502223334,Dakahlia,30.80147833,30.99610573
H-28,Tanta University Hospital,Hospital,El-Bahr Street – Tanta,403332211,Gharbia,30.80142304,30.99607891
H-29,Assiut University Hospital,Hospital,University Street,882345678,Assiut,27.18503638,31.16615717
H-30,Sohag General Hospital,Hospital,El-Gomhouria Street,931239876,Sohag,26.54656452,31.70076988
LAB-31,Al-Mokhtabar Branch - Madinet Nasr,Lab,Abbas Al-Akkad Street – Madinet Nasr,19014,Cairo,30.05744324,31.33748606
LAB-32,Al-Borg Branch - Dokki,Lab,Al-Tahrir Street,19911,Giza,30.03861705,31.2092219
LAB-33,Alpha Branch - Alexandria,Lab,"Fouad Street – Mahattet Al-Raml			",34567123,Alexandria,31.20413458,29.90164062
LAB-34,Cairo Lab,Lab,Mostafa Kamel Street,35551122,Alexandria,29.98489969,31.27469397
LAB-35,Town Lab,Lab,Faisal Street,235698741,Giza,30.02611273,31.19847457
LAB-36,Al-Nokhba Laboratory,Lab,El-Gomhouria Street,552221110,Sharqia,30.53352128,31.67487518
LAB-37,Sama Laboratory,Lab,Saad Zaghloul Street,509988776,Dakahlia,31.32350772,31.50410085
LAB-38,Al-Nour Laboratory,Lab," Kornish Al Nile, Seidah, Ossim",653445566, Giza,30.16985696,31.14452274
PH-39,Al-Muttahida Pharmacies,Pharmacy,"Al Hamraa Ath Thaneyah, El Fateh",887654321,Assiut,27.18433872,31.1818663
PH-40,Al-Hala Pharmacies,Pharmacy,El-Thalathini Street – Port Said,663344556,Port Said,31.240739,32.32292711
PH-41,Eman Pharmacy,Pharmacy,"15 Meret Basha, Ismailia, Qasr El Nil",1068835616,Cairo,30.13859933,31.61268222
PH-42,Al-Dawa Pharmacies,Pharmacy,Gamal Abdel Nasser Street,34443322,Alexandria,31.25134488,29.99532616
PH-43,Al-Rahma Pharmacies,Pharmacy," Taha El-Hakeem, Tanta Qism 2, First Tanta",408765432,Gharbia,30.81389717,31.00132319
PH-44,Al-Baraka Pharmacies,Pharmacy,"  Nahdet Masr, Al Dawahi",643332211, Port Said  ,31.24668654,32.28882842
PH-45,Al-Nile Pharmacies,Pharmacy,"Street 263, Ezbet Fahmy, El Basatin",865554443,Cairo,30.0961603,31.25463697
PH-46,Al-Fouad Pharmacies,Pharmacy,"In Front Of National Bank Of Egypt Roxy, 3 Boutros Ghaly, El-Montaza, Heliopolis",222998877,Cairo,30.10555758,31.31404164
PH-47,Al-Amal Pharmacies,Pharmacy,"Al Agouzah, Al Giza",233344556,Giza,30.05587695,31.21289622
PH-48,Al-Yasmine Pharmacies,Pharmacy,"Anas Ibn Malik, Sidi Beshr Qebli, Montaza 1",356677889,Alexandria,31.31082635,29.99102427
PH-49,Al-Shifa Pharmacies,Pharmacy,El-Gomhouria Street,923456677,Qena,26.15969961,32.72275802
PH-50,Dr Ebram Nady Pharmacy,Pharmacy,"Islamic Center in Obour City, El-Sadat Rd, Obour",1099887766,Qalyubia,30.24016708,31.47080124
PH-51,Abo Ali Pharmacies - Badr Eddin branch ,Pharmacy,Second Al Sheikh Zayed,238223344,Giza,30.07110981,30.95289648
PH-52,Al-Shaab Pharmacy,Pharmacy,"Zakkaria El Heggawy St, Al Omraneyah Al Gharbeyah, Al Haram",233451122,Giza,30.00747814,31.19879814
PH-53,Al-Doctor Pharmacy,Pharmacy," King Faisal St, Kafr Tohormos",235688991,Giza,30.01398919,31.17737767
PH-54,Al-Quds Pharmacy,Pharmacy,"Talal St, Al Berom, Faqous",345566778,Sharqia ,30.73028011,31.79293988
PH-55,Al-Aqsa Pharmacy,Pharmacy,"Al Salam Street Mosque, As Sayadin, Zagazig 2",354411223,Sharqia,30.59757197,31.49379342
PH-56,WellCare Pharmacy,Pharmacy,El Shorouk,1226666177,Cairo,30.16289841,31.64026528
PH-57,Al-Hidaya Pharmacy,Pharmacy, Mohamed shaker,237609988,Cairo ,30.03709038,31.2519221
PH-58,Al-Kawthar Pharmacy,Pharmacy,Al-Mokattam Street,502221188,Dakahlia,30.02053519,31.28303326
PH-59,Osama Khalid pharmacy,Pharmacy,Wadi Al Netroun Street,1202809997,Beheira,30.38040908,30.35609102
PH-60,Ibn Sina Pharmacy,Pharmacy,Shikh El-Arab Street,931122334,Sohag,26.34111039,31.8871881
H-61,Al-Rahma Hospital,Hospital,Abd El-Aziz El-Naggar Street,1005402396,Giza,30.04860139,31.17093181
H-62,Al-Safa Hospital,Hospital,Adn Street,233361010,Giza,30.05187764,31.197318
H-63,Al-Nil Badrawi Hospital,Hospital,Maadi Corniche,219668,Cairo,29.9826288,31.23119317
H-64,Al-Asima Hospital,Hospital,15 Ahmed Samy El-Sayed Street,24159383- 24159384 - 01062111122,Giza,30.04936979,31.20711391
H-65,Gamal Abd Al-Nasser Hospital,Hospital,Gamal Abdel Nasser Street,34281244,Alexandria,31.20454345,29.92622121
H-66,Al-Shorouk Central Hospital,Hospital,Saad Zaghloul Street ,226303845,Cairo,30.21207506,31.61178338
H-67,Al-Hayah Hospital,Hospital,El-Gomhouria Street,502311223,Dakahlia,31.04469455,31.36724879
H-68,Taiba Hospital,Hospital,Al Hawaweesh Road,934611001,Sohag,26.56178338,31.71991812
H-69,Mabarra Hospital,Hospital,Kornish Al Nile Street,882334455,Assiut,27.19563447,31.18837905
H-70,Al-Karma Hospital,Hospital,Samira Moussa Street,1206331679,Cairo,30.00876147,31.45664846
LAB-71,Royal Lab,Lab,Manshîyet el Bakri Street,1116774349,Cairo,30.08938757,31.31210416
LAB-72,Royal Lab,Lab,Faisal Street,1066133055,Giza,29.99857732,31.15987019
LAB-73,Alfa Lab,Lab,El-Glaa Street,1275985003,Sharqia,30.59908143,31.50530355
LAB-74,Egypt Lab,Lab,El-Geish Street,403344551,Gharbia,30.80072741,30.99698391
LAB-76,Future Lab,Lab,El-Ishrin Street,1025578222,Ismailia,30.61407804,32.2731402
LAB-77,Al-Hayah Lab,Lab,El-Safa Street,1014866656,Dakahlia,31.03547181,31.35757249
LAB-78,Al-Daqa Lab,Lab,Hafez Abou Hager Street,456699881,Menofia,30.60888403,30.90644065
LAB-79,El Bordiny Lab,Lab,Mostafa Kamel Street,355566771,Alexandria,31.22685087,29.94619027
LAB-80,Alborg lab,Lab,El-Habashi Street,663221144,Port Said,31.26375319,32.30902914
SC-81,Cairo Kidney Diseases Center,Oncology Center,3 Hussein El-Memar Street branching from Mahmoud Bassiouni - Qasr El-Nil,1222408456,Cairo,30.05123568,31.23635107
SC-82,Cairo Kidney Diseases Center,Cardiac Catheterization Center,95 Street 9 in front of Maadi Metro Station,1289802820,Cairo,29.96449313,31.25731715
SC-83,Care Clinic Dar El Salam,Ophthalmology Hospital,El-Fayoumy Street,1022270000,Cairo,29.98737878,31.24127775
SC-85,Amal Oncology Center,Ophthalmology Hospital,Medical Park - behind Al-Gawwi Hospital,0228123642-01157177729-01013313371,Cairo,30.00464122,31.42638079
SC-86,Egeheart Medical Center (Cardiology & Catheterization),Ophthalmology Hospital,"Medical Center – Al-Siraj Mall – Makram Ebeid, Madinet Nasr (Outpatient clinics only)",22755577,Cairo,30.05109032,31.34904339
OP-87,(19650) International Eye Hospital,Ophthalmology Hospital,21 Al-Andalus Street behind Merryland – Roxy – Heliopolis,24554456,Cairo,30.10228586,31.31794648
OP-88,Magrabi Eye Hospital - Cairo,Ophthalmology Hospital,Al-Sayeda Nafisa Square – Old Cairo,23632024,Cairo,30.02354094,31.25105471
OP-89,(19980) Specialized Eye Center,Ophthalmology Hospital,18 Al-Khalifa Al-Maamoun Street – Heliopolis,24549570,Cairo,30.02354094,31.25105471
OP-90,Al-Nour Eye Hospital,Ophthalmology Hospital,93 Mostafa El-Nahas Street – Madinet Nasr,26702904,Cairo,30.055144,31.35099101
OP-91,Enaya Eye Center,Optics,N Teseen,1205402800,Cairo,30.01973677,31.43610353
OP-92,Nour Al-Hayah Eye Center,Optics,93 Al-Mirghani Street next to Al-Maza Central – Heliopolis,24199630,Cairo,30.08551389,31.33343867
OP-93,Cordoba Eye & LASIK Center,Optics,"7 Abbas Al-Akkad Street, Madinet Nasr",1111150032,Cairo,30.06727659,31.33609382
OP-94,M.Gahar Optics,Rheumatology,12 Brazil Street,227375656,Cairo,30.06751285,31.22113089
OP-95,Munir Nassif Eyewear,Rheumatology,30 Talaat Harb Street – Downtown,25745505,Cairo,30.04951285,31.24485535
CL-97,Dr. Mohamed Mohamed Al-Soda,Physical Therapy,13 Brazil Street – Zamalek,27374447,Cairo,30.0616071,31.22343087
TP-99,Al-Zayed Physical Therapy Center,Physical Therapy,6 Adly Street – Opera Square – Al-Ataba,23918491,Cairo,30.05113083,31.24557641
